OrderID,CustomerID,ProductID,OrderDate,ShippedDate,Quantity,PaymentMethod
S01,C173,P15,2025-04-24,,3,Apple Pay
S02,C28,P68,2025-12-10,2025-12-18,2,Paystack
S03,C142,P70,2025-10-21,2025-10-30,5,Flutterwave
S04,C23,P53,2025-12-14,2025-12-22,2,Paystack
S05,C173,P15,2025-11-17,,5,Moniepoint
S06,C144,P51,2025-10-06,2025-10-10,5,Gift Card
S07,C239,P18,2025-07-11,2025-07-12,4,OPay
S08,C13,P06,2025-01-08,2025-01-12,4,USSD
S09,C39,P18,2025-08-07,,1,Flutterwave
S10,C296,P26,2025-10-16,2025-10-22,2,Bank Transfer
S11,C228,P44,2025-12-15,2025-12-20,1,OPay
S12,C117,P68,2025-07-02,2025-07-03,5,Bank Transfer
S13,C30,P42,2025-11-05,2025-11-09,3,Bank Transfer
S14,C62,P58,2025-01-11,,5,Gift Card
S15,C34,P03,2025-09-07,2025-09-12,2,PayPal
S16,C176,P38,2025-12-18,2025-12-21,5,USSD
S17,C165,P35,2025-08-16,2025-08-22,2,Gift Card
S18,C157,P05,2025-01-19,2025-01-29,5,Kuda
S19,C257,P21,2025-12-21,,4,OPay
S20,C268,P67,2025-02-08,2025-02-17,2,USSD
S21,C271,P06,2025-04-19,2025-04-25,4,Bank Transfer
S22,C185,P50,2025-07-01,2025-07-07,5,Gift Card
S23,C110,P03,2025-05-08,2025-05-18,1,Apple Pay
S24,C51,P19,2025-05-20,2025-05-22,5,USSD
S25,C114,P68,2025-10-27,,1,Paystack
S26,C272,P13,2025-04-13,2025-04-23,1,Bank Transfer
S27,C244,P31,2025-03-14,2025-03-19,3,Google Pay
S28,C116,P32,2025-06-29,,4,Bank Transfer
S29,C18,P44,2025-12-10,2025-12-18,5,Bank Transfer
S30,C271,P31,2025-06-28,2025-07-02,1,Apple Pay
S31,C136,P58,2025-07-22,2025-07-27,2,Flutterwave
S32,C20,P39,2025-06-07,2025-06-17,5,Apple Pay
S33,C280,P44,2025-02-07,,5,Moniepoint
S34,C186,P39,2025-10-25,2025-11-02,3,Debit Card
S35,C213,P09,2025-09-06,2025-09-09,3,USSD
